出现时间,弹幕模式,字号,颜色,发送时间,弹幕池,发送者id,rowID,弹幕内容
00:01:44,1,25,16777215,Tue Jul 17 19:21:31 2018,0,188bba5c,2455931162460162,水土不服
00:01:45,1,25,16777215,Thu Aug 24 17:16:31 2017,0,4d5f3587,3742703125,带土是攻
00:01:45,1,25,16777215,Thu Jun 22 21:09:08 2017,0,bd61f20c,3481628216,赞成的CP是水土！！水土不服
00:01:45,1,25,16777215,Tue Feb  7 00:12:53 2017,0,24abf39b,2966365168,带土是攻！卡卡西是受！
00:01:46,1,25,0,Sat Mar 11 14:02:29 2017,0,a8edc014,3089485150,火影大法
00:01:46,1,25,16737996,Fri Sep 30 23:11:52 2016,0,29f3186a,2469857015,试色
00:01:46,1,25,16777215,Fri Aug  4 17:28:11 2017,0,11f90a76,3649206984,突然发现这几队好像都是因修传承出来的...
00:01:46,1,25,16777215,Fri Aug 11 14:49:08 2017,0,9f6e27b3,3680691723,水土不服的够了
00:01:46,1,25,16777215,Mon Aug 14 11:20:41 2017,0,7a7a8864,3693968062,因陀罗太帅了
00:01:48,1,25,16777215,Fri Aug 25 23:18:15 2017,0,26d3d924,3748836962,水土不服哈哈
00:01:48,1,25,16777215,Tue Aug 30 12:12:56 2016,0,9417129b,2353696495,是
00:01:48,1,25,16777215,Wed Aug  9 23:33:46 2017,0,8f9af2c9,3673555155,hhhh真心（止）水（带）土不服~\(≧▽≦)/~
00:01:49,1,25,16777215,Fri Jan 19 10:37:53 2018,0,4e0897eb,4191903027,水土不服你们在搞什么哈哈哈哈哈哈哈
00:01:49,1,25,16777215,Fri Sep  7 21:57:37 2018,0,a91aa2eb,4816362685857796,带土是攻靴靴
00:01:49,1,25,16777215,Sat Feb 24 01:53:15 2018,0,1cf3e32a,4337362962,水土不服的别走哈哈哈哈哈哈哈哈
00:01:49,4,25,15138834,Mon May 22 18:06:36 2017,0,2b661261,3391753443,竹林的灯火
00:01:49,5,25,16724940,Fri Sep 30 23:11:41 2016,0,29f3186a,2469812637,竹林的灯火
00:01:50,1,25,16777215,Sat Jul 23 14:02:13 2016,0,cd9f75e8,2132658189,柱斑~
00:01:50,4,25,15138834,Mon Jun  5 10:10:56 2017,0,2b661261,3432496260,到过的沙漠
00:01:50,5,25,16724940,Fri Sep 30 23:11:41 2016,0,29f3186a,2469813917,岛国的沙漠
00:01:51,1,25,16777215,Sat Apr  1 17:05:58 2017,0,bc51684e,3163177238,对我来说只有泉奈是攻(内部销售不算)
00:01:51,1,25,16777215,Sat Mar 10 19:44:56 2018,0,e0bb8117,4378232575,带土是受！受！受！受呀！！！
00:01:51,1,25,16777215,Thu Jun 22 08:08:31 2017,0,fbc4a5e7,3479779248,止水是么
00:01:51,1,25,16777215,Wed Sep 12 19:25:19 2018,0,f26dca0b,5038063805267968,我大因陀罗真不愧是一家里的颜值担当^o^
00:01:51,4,25,15138834,Mon May 22 18:06:38 2017,0,2b661261,3391755399,七色的国度
00:01:53,5,25,16724940,Fri Sep 30 23:11:41 2016,0,29f3186a,2469814755,七色的国度
00:01:54,1,25,15138834,Sat Aug 20 14:02:07 2016,0,f92450f5,2298261119,修因好吗？对家别没事找抽好吗？！
00:01:54,1,25,15138834,Sun May 21 13:01:51 2017,0,9808b111,3385472421,别说，bgm还蛮配的
00:01:54,1,25,16777215,Wed Nov  1 21:44:01 2017,0,a0676009,3934637842,止水攻，鼬受
00:01:54,4,25,15138834,Mon May 22 18:06:38 2017,0,2b661261,3391756523,不断飘逸风中
00:01:54,5,25,16724940,Fri Sep 30 23:11:41 2016,0,29f3186a,2469815563,不断飘逸风中
00:01:55,1,25,16777215,Sun Feb  5 00:12:31 2017,0,d86fbe63,2955272414,因修，斑柱，佐鸣的都给我一边去啊！
00:01:56,4,25,15138834,Mon May 22 18:06:38 2017,0,2b661261,3391757531,有一种神秘
00:01:56,5,25,16724940,Fri Sep 30 23:11:42 2016,0,29f3186a,2469816485,有一种神秘
